Sample Name,Lab Number,Date,Sample Label,UTM east,UTM north,Elevation,Temp C,pH,Li,Na,K,Ca,Mg,SiO2,B,Cl,F,SO4,HCO3,CO3,NH4,As,Rb,Cs,Sr,Ba,Fe,Mn
MC-1  14/09/1982 1130,,,,,,0,,8.2,3.2,1220,104,53,0.4,165,13.6,1910,2.7,130,48,,0.5,0.73,,,,,,
MC-1  25/09/1982,,,,,,0,,8.4,3.2,1210,94,36,0.6,373,13.1,1930,2.2,150,46,,0.6,0.62,,,,,,
MC-1  27/09/1982,,,,,,0,,8.5,3.1,1210,95,37,0.8,376,12.4,1940,2,140,41,,-0.5,0.58,,,,,,
MC-1  01/10/1982,,,,,,0,,8.3,3.3,1260,99,37,1,374,13.4,1990,2.3,140,57,,-0.5,0.8,,,,,,
MC-1  09/10/1982,,,,,,0,,8.3,3.3,1250,98,37,1,217,13,1930,2.3,130,50,,0.5,0.84,,,,,,
MC-1  18/10/1982  1200,,,,,,0,,8.4,3.4,1290,108,38,0.8,390,13,2070,2.1,130,46,,-0.5,0.89,,,,,,
MC-1  21/10/1982  1200,,,,,,0,,,,1200,104,39,,370,,1990,,,,,,,,,,,,
MC-1  23/10/1982  1200,,,,,,0,,8.3,3.3,1260,98,40,0.8,370,12.8,1990,2.1,120,52,,-0.5,0.77,,,,,,
MC-1  24/10/1982  1200,,,,,,0,,8.2,3.4,1320,100,37,1,390,13.2,2030,2,130,69,,-0.5,0.3,,,,,,
MC-1  25/10/1982  1200,,,,,,0,,8.2,3.4,1320,101,37,1,400,13.8,2040,2.1,130,68,,-0.5,0.7,,,,,,
MC-1  28/10/1982  2400,,,,,,0,,8.7,2,740,59,33,0.8,340,7.6,1090,1.8,170,51,,-0.5,0.11,,,,,,
MC-1  29/10/1982  0800,,,,,,0,,8.2,2.9,1130,92,47,1,370,11.6,1720,1.9,160,52,,-0.5,0.07,,,,,,
MC-1  29/10/1982  2400,,,,,,0,,8.7,3.7,1440,114,82,1.5,400,14.5,2210,2.3,190,54,,-0.5,0.23,,,,,,
MC-1  29/10/1982  1600,,,,,,0,,,,1190,99,59,,400,,1830,,,,,,,,,,,,
MC-1  30/10/1982  0800,,,,,,0,,8.6,3.4,1310,101,74,4.6,290,13.7,2020,2,170,51,,-0.5,0.2,,,,,,
MC-1  30/10/1982  2400,,,,,,0,,8.4,3.6,1420,106,64,20,330,15,2210,2.6,190,63,,-0.5,0.18,,,,,,
MC-1  30/10/1982  1600,,,,,,0,,,,1330,104,87,,380,,2070,,,,,,,,,,,,
MC-1  31/10/1982  0830,,,,,,0,,8.1,3.9,1480,126,65,23,330,15.4,2270,2.8,170,61,,-0.5,0.32,,,,,,
MC-1  06/11/1982  1200,,,,,,0,,,,1050,76,41,,310,,1660,,,,,,,,,,,,
MC-1  07/11/1982  1200,,,,,,0,,8.4,3.3,1190,97,41,1.2,360,12.6,1940,1.9,150,43,,-0.5,0.79,,,,,,
MC-1  08/11/1982  1200,,,,,,0,,,,1270,98,40,,370,,2010,,,,,,,,,,,,
MC-1  09/11/1982  1200,,,,,,0,,8.2,3.2,1170,95,37,1.2,340,11.9,1870,1.8,130,46,,-0.5,0.85,,,,,,
MC-1  10/11/1982  1213,,,,,,0,,,,1420,112,44,,400,,2200,,,,,,,,,,,,
MC-1  11/11/1982  0715,,,,,,0,,8.3,3.3,1210,100,37,1.2,370,12.8,1990,1.9,140,45,,-0.5,1,,,,,,
MC-1  11/11/1982  0945,,,,,,0,,8.3,3.5,1220,100,37,1.3,390,13.4,2030,2,130,48,,-0.5,1,,,,,,
MC-1  11/11/1982  0945,,,,,,0,,8.3,3.3,1180,96,36,1.2,360,12.2,1940,1.9,130,45,,0.5,0.88,,,,,,
MC-1  15/11/1982  1200,,,,,,0,,8.1,1.9,750,61,36,1.7,220,8.1,1210,1.3,86,46,,-0.5,0.49,,,,,,
MC-1  19/11/1982  1100,,,,,,0,,,,1240,99,39,,360,,2010,,,,,,,,,,,,
MC-1  20/11/1982  1100,,,,,,0,,8.3,3.2,1270,100,37,1.2,360,13.1,1980,2,130,45,,-0.5,0.89,,,,,,
MC-1  21/11/1982  1100,,,,,,0,,,,1240,95,36,,360,,1990,,,,,,,,,,,,
MC-1  23/11/1982  1100,,,,,,0,,8.3,3.2,1270,100,36,1.3,360,12.8,1970,2,130,44,,-0.5,1,,,,,,
MC-1  23/11/1982  1400,,,,,,0,,7,2.4,940,75,27,0.9,260,10.3,1490,1.5,96.8,54,,1,0.65,,,,,,
MC-1  24/11/1982  1100,,,,,,0,,,,1260,103,37,,360,,1990,,,,,,,,,,,,
MC-1  28/11/1982am,,,,,,0,,8.3,3.3,1280,93,36,1.3,370,13.3,1990,2,140,39,,-0.5,0.88,,,,,,
MC-1  01/12/1982pm,,,,,,0,,8.3,3.3,1280,93,37.1,1.4,390,13.3,1990,2,130,40,,-0.5,0.88,,,,,,
MC-1  06/12/1982  1400,,,,,,0,,8.2,3.3,1270,93,36.5,1.4,370,13.5,1990,2,140,41,,-0.5,0.87,,,,,,
MC-1  09/12/1982  1400,,,,,,0,,8.3,3.2,1260,92,36.5,1.4,380,13.8,2000,2,140,37,,-0.5,1,,,,,,
MC-1  12/12/1982  1000,,,,,,0,,8.3,3.3,1260,93,36,1.4,380,13.4,2080,2,140,39,,-0.5,0.96,,,,,,
MC-1  15/12/1982  0900,,,,,,0,,8.4,3.3,1270,92,35.5,1.4,380,13.8,1990,2,140,38,,-0.5,0.96,,,,,,
MC-1  19/12/1982  0900,,,,,,0,,8.3,3.4,1280,93,36,1.4,370,13.6,1990,2,140,38,,-0.5,0.93,,,,,,
MC-1  23/12/1982  0900,,,,,,0,,8.3,3.2,1310,110,36,1.6,390,14,2000,2.1,130,44,,-0.5,0.85,,,,,,
MC-1  26/12/1982  1200,,,,,,0,,8.3,3.3,1290,110,37,1.5,370,13.4,1990,2.1,130,44,,-0.5,1,,,,,,
MC-1  29/12/1982  1200,,,,,,0,,8.3,3.3,1290,113,46,1.4,370,13.6,2010,2.1,140,44,,-0.5,0.92,,,,,,
MC-1  02/01/1983  1600,,,,,,0,,8.7,3.2,1290,110,37,1.4,380,13.6,1980,2.1,140,66,,-0.5,0.84,,,,,,
MC-1  05/01/1983  1300,,,,,,0,,8.2,3.1,1270,112,36,1.4,380,14,1980,1.9,130,45,,-0.5,1.1,,,,,,
MC-1  09/01/1983  0900,,,,,,0,,8.2,3.1,1270,118,36,1.4,370,13.5,1970,1.9,120,45,,-0.5,1,,,,,,
MC-1  13/01/1983  1500,,,,,,0,,8.2,3.1,1280,112,36,1.3,390,14,1990,2,120,45,,-0.5,0.92,,,,,,
MC-1  16/01/1983  1500,,,,,,0,,8.2,3.2,1280,118,36,1.3,380,13.8,1990,2,120,45,,-0.5,1.1,,,,,,
MC-1  20/01/1983  1300,,,,,,0,,8.3,3.1,1280,120,38,1.3,360,13.9,1960,1.9,120,45,,-0.5,1.1,,,,,,
MC-1  30/01/1983  0900,,,,,,0,,8.4,3.3,1380,125,45,1.2,350,15,2100,2.1,130,47,,-0.5,1.1,,,,,,
MC-1  02/02/1983  1200,,,,,,0,,8.6,3.9,1520,117,58,0.7,390,15.1,2280,2.5,130,8.6,,-0.5,1.1,,,,,,
MC-1  06/02/1983  1730,,,,,,0,,8.5,3.4,1360,106,52,0.4,350,13.6,1930,2.2,140,38,,-0.5,1,,,,,,
MC-1  09/02/1983  1500,,,,,,0,,7.1,3.2,1180,97,55,3.8,360,12.7,1870,1.9,120,126,,-0.5,1,,,,,,
MC-1  13/02/1983  2030,,,,,,0,,8.6,3.7,1420,110,45,0.2,390,15.1,2220,2.3,140,40,,-0.5,1.1,,,,,,
MC-1  19/02/1983  1200,,,,,,0,,8.4,3.6,1320,106,39,1.1,370,14,2090,2.2,150,42,,-0.5,1.1,,,,,,
MC-1  24/02/1983  0900,,,,,,0,,8.4,3.6,1330,107,38,1.3,380,14.1,2100,2.2,140,35,,-0.5,1.1,,,,,,
MC-1  27/02/1983  0900,,,,,,0,,8.4,3.6,1290,109,38,1.4,380,14,2080,2.1,160,35,,-0.5,1,,,,,,
MC-1  02/03/1983  1330,,,,,,0,,8.4,3.4,1300,117,39,1.5,380,14.4,2060,2.8,130,33,,-0.5,1,,,,,,
