Sample Name,Amorphous Silica
MC-2  21/10/1982  2400,46
MC-2  22/10/1982  0800,74
MC-2  23/10/1982  1000,114
MC-2  23/10/1982  0200,94
MC-2  23/10/1982  2400,114
MC-2  24/10/1982  1400,116
MC-2  25/10/1982  0600,122
MC-2  25/10/1982  0200,124
MC-2  13/11/1982  1000,77
MC-2  13/11/1982  1145,68
MC-2  13/11/1982  1400,90
MC-2  13/11/1982  1600,110
MC-2  13/11/1982  1800,114
MC-2  13/11/1982  1900,31
MC-3  15/10/1982  1700,#REF!
MC-3  16/10/1982  1900,#REF!
MC-3  16/10/1982  0100,46
MC-3  16/10/1982  1000,94
MC-3  19/10/1982  2000,85
MC-3  20/10/1982  1600,85
MC-3  20/10/1982  1000,71
MC-3  21/10/1982  1000,118
MC-3  21/10/1982  2400,77
MC-3  21/10/1982  1400,74
MC-3  25/10/1982  2000,94
MC-3  26/10/1982  0400,90
MC-3  26/10/1982  2000,68
MC-3  26/10/1982  1200,82
MC-3  27/10/1982  0900,104
MC-3  27/10/1982  2000,82
MC-3  28/10/1982  1000,90
MC-3  02/11/1982  1400,68
MC-3  02/11/1982  2200,82
MC-3  09/11/1982  1200 ,90
MC-3  09/11/1982  2000,92
MC-3  09/11/1982  1600,94
MC-3  11/11/1982  1436,80
MC-3  11/11/1982  1834,90
MC-3  11/11/1982  1248,85
